C:\Users\mrsoh\How_to_simulate_a_self_driving_car\data\IMG\center_2019_01_18_12_52_31_162.jpg,C:\Users\mrsoh\How_to_simulate_a_self_driving_car\data\IMG\left_2019_01_18_12_52_31_162.jpg,C:\Users\mrsoh\How_to_simulate_a_self_driving_car\data\IMG\right_2019_01_18_12_52_31_162.jpg,0,0,0,0.0002274444
C:\Users\mrsoh\How_to_simulate_a_self_driving_car\data\IMG\center_2019_01_18_12_52_31_227.jpg,C:\Users\mrsoh\How_to_simulate_a_self_driving_car\data\IMG\left_2019_01_18_12_52_31_227.jpg,C:\Users\mrsoh\How_to_simulate_a_self_driving_car\data\IMG\right_2019_01_18_12_52_31_227.jpg,0,0,0,3.213803E-05
C:\Users\mrsoh\How_to_simulate_a_self_driving_car\data\IMG\center_2019_01_18_12_52_31_301.jpg,C:\Users\mrsoh\How_to_simulate_a_self_driving_car\data\IMG\left_2019_01_18_12_52_31_301.jpg,C:\Users\mrsoh\How_to_simulate_a_self_driving_car\data\IMG\right_2019_01_18_12_52_31_301.jpg,0,0,0,3.59757E-05
C:\Users\mrsoh\How_to_simulate_a_self_driving_car\data\IMG\center_2019_01_18_12_52_31_372.jpg,C:\Users\mrsoh\How_to_simulate_a_self_driving_car\data\IMG\left_2019_01_18_12_52_31_372.jpg,C:\Users\mrsoh\How_to_simulate_a_self_driving_car\data\IMG\right_2019_01_18_12_52_31_372.jpg,0,0,0,5.86954E-05
C:\Users\mrsoh\How_to_simulate_a_self_driving_car\data\IMG\center_2019_01_18_12_52_31_442.jpg,C:\Users\mrsoh\How_to_simulate_a_self_driving_car\data\IMG\left_2019_01_18_12_52_31_442.jpg,C:\Users\mrsoh\How_to_simulate_a_self_driving_car\data\IMG\right_2019_01_18_12_52_31_442.jpg,0,0,0,7.211465E-06
C:\Users\mrsoh\How_to_simulate_a_self_driving_car\data\IMG\center_2019_01_18_12_52_31_515.jpg,C:\Users\mrsoh\How_to_simulate_a_self_driving_car\data\IMG\left_2019_01_18_12_52_31_515.jpg,C:\Users\mrsoh\How_to_simulate_a_self_driving_car\data\IMG\right_2019_01_18_12_52_31_515.jpg,0,0,0,6.97963E-05
C:\Users\mrsoh\How_to_simulate_a_self_driving_car\data\IMG\center_2019_01_18_12_52_31_586.jpg,C:\Users\mrsoh\How_to_simulate_a_self_driving_car\data\IMG\left_2019_01_18_12_52_31_586.jpg,C:\Users\mrsoh\How_to_simulate_a_self_driving_car\data\IMG\right_2019_01_18_12_52_31_586.jpg,0,0,0,9.92674E-05
C:\Users\mrsoh\How_to_simulate_a_self_driving_car\data\IMG\center_2019_01_18_12_52_31_659.jpg,C:\Users\mrsoh\How_to_simulate_a_self_driving_car\data\IMG\left_2019_01_18_12_52_31_659.jpg,C:\Users\mrsoh\How_to_simulate_a_self_driving_car\data\IMG\right_2019_01_18_12_52_31_659.jpg,0,0,0,0.0001189603
C:\Users\mrsoh\How_to_simulate_a_self_driving_car\data\IMG\center_2019_01_18_12_52_31_730.jpg,C:\Users\mrsoh\How_to_simulate_a_self_driving_car\data\IMG\left_2019_01_18_12_52_31_730.jpg,C:\Users\mrsoh\How_to_simulate_a_self_driving_car\data\IMG\right_2019_01_18_12_52_31_730.jpg,0,0,0,0.0001292398
C:\Users\mrsoh\How_to_simulate_a_self_driving_car\data\IMG\center_2019_01_18_12_52_31_799.jpg,C:\Users\mrsoh\How_to_simulate_a_self_driving_car\data\IMG\left_2019_01_18_12_52_31_799.jpg,C:\Users\mrsoh\How_to_simulate_a_self_driving_car\data\IMG\right_2019_01_18_12_52_31_799.jpg,0,0,0,0.0001524269
C:\Users\mrsoh\How_to_simulate_a_self_driving_car\data\IMG\center_2019_01_18_12_52_31_866.jpg,C:\Users\mrsoh\How_to_simulate_a_self_driving_car\data\IMG\left_2019_01_18_12_52_31_866.jpg,C:\Users\mrsoh\How_to_simulate_a_self_driving_car\data\IMG\right_2019_01_18_12_52_31_866.jpg,0,0,0,0.0001899541
C:\Users\mrsoh\How_to_simulate_a_self_driving_car\data\IMG\center_2019_01_18_12_52_31_938.jpg,C:\Users\mrsoh\How_to_simulate_a_self_driving_car\data\IMG\left_2019_01_18_12_52_31_938.jpg,C:\Users\mrsoh\How_to_simulate_a_self_driving_car\data\IMG\right_2019_01_18_12_52_31_938.jpg,0,0,0,0.0002758446
C:\Users\mrsoh\How_to_simulate_a_self_driving_car\data\IMG\center_2019_01_18_12_52_32_008.jpg,C:\Users\mrsoh\How_to_simulate_a_self_driving_car\data\IMG\left_2019_01_18_12_52_32_008.jpg,C:\Users\mrsoh\How_to_simulate_a_self_driving_car\data\IMG\right_2019_01_18_12_52_32_008.jpg,0,0,0,1.900836E-05
C:\Users\mrsoh\How_to_simulate_a_self_driving_car\data\IMG\center_2019_01_18_12_52_32_080.jpg,C:\Users\mrsoh\How_to_simulate_a_self_driving_car\data\IMG\left_2019_01_18_12_52_32_080.jpg,C:\Users\mrsoh\How_to_simulate_a_self_driving_car\data\IMG\right_2019_01_18_12_52_32_080.jpg,0,0,0,0.0002852594
C:\Users\mrsoh\How_to_simulate_a_self_driving_car\data\IMG\center_2019_01_18_12_52_32_154.jpg,C:\Users\mrsoh\How_to_simulate_a_self_driving_car\data\IMG\left_2019_01_18_12_52_32_154.jpg,C:\Users\mrsoh\How_to_simulate_a_self_driving_car\data\IMG\right_2019_01_18_12_52_32_154.jpg,0,0.1344273,0,0.05406857
C:\Users\mrsoh\How_to_simulate_a_self_driving_car\data\IMG\center_2019_01_18_12_52_32_226.jpg,C:\Users\mrsoh\How_to_simulate_a_self_driving_car\data\IMG\left_2019_01_18_12_52_32_226.jpg,C:\Users\mrsoh\How_to_simulate_a_self_driving_car\data\IMG\right_2019_01_18_12_52_32_226.jpg,0,0.3076933,0,0.2490157
C:\Users\mrsoh\How_to_simulate_a_self_driving_car\data\IMG\center_2019_01_18_12_52_32_300.jpg,C:\Users\mrsoh\How_to_simulate_a_self_driving_car\data\IMG\left_2019_01_18_12_52_32_300.jpg,C:\Users\mrsoh\How_to_simulate_a_self_driving_car\data\IMG\right_2019_01_18_12_52_32_300.jpg,0,0.551757,0,0.6455675
C:\Users\mrsoh\How_to_simulate_a_self_driving_car\data\IMG\center_2019_01_18_12_52_32_369.jpg,C:\Users\mrsoh\How_to_simulate_a_self_driving_car\data\IMG\left_2019_01_18_12_52_32_369.jpg,C:\Users\mrsoh\How_to_simulate_a_self_driving_car\data\IMG\right_2019_01_18_12_52_32_369.jpg,0,0.7357238,0,1.131965
C:\Users\mrsoh\How_to_simulate_a_self_driving_car\data\IMG\center_2019_01_18_12_52_32_444.jpg,C:\Users\mrsoh\How_to_simulate_a_self_driving_car\data\IMG\left_2019_01_18_12_52_32_444.jpg,C:\Users\mrsoh\How_to_simulate_a_self_driving_car\data\IMG\right_2019_01_18_12_52_32_444.jpg,0,0.9819873,0,1.997739
